Rank,Name,City & State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Composite Range,ACT Composite Range,Website
#361,Rowan University,"Glassboro, NJ",Public,"16,047","18,484","$23,692","$9,357","$39,526","$91,200",69%,1050-1260,22-28,www.rowan.edu
#362,"CUNY, Brooklyn College","Brooklyn, NY",Public,"17,679","17,803","$4,211","$9,250","$34,942","$97,800",40%,1050-1210,N/A,www.brooklyn.cuny.edu
#363,John Brown University,"Siloam Springs, AR",Private,"2,230","2,613","$22,583","$15,476","$38,834","$82,700",76%,1080-1310,24-29,www.jbu.edu
#364,Florida International University,"Miami, FL",Public,"55,835","56,718","$12,503","$6,471","$36,086","$90,100",54%,1080-1240,22-27,www.fiu.edu
#365,Salisbury University,"Salisbury, MD",Public,"8,714","8,721","$18,792","$5,527","$34,102","$89,800",65%,N/A,N/A,www.salisbury.edu
#366,Kansas State University,"Manhattan, KS",Public,"21,022","22,795","$17,926","$6,435","$39,696","$97,200",94%,N/A,N/A,www.k-state.edu
#367,Concordia College—Moorhead,"Moorhead, MN",Private,"2,059","2,140","$23,393","$23,456","$49,488","$85,200",62%,1055-1305,22-28,www.concordiacollege.edu
#368,"University of Wisconsin, Eau Claire","Eau Claire, WI",Public,"10,904","10,944","$16,188","$3,449","$27,990","$93,600",76%,N/A,21-26,www.uwec.edu
#369,North Dakota State University,"Fargo, ND",Public,"12,915","14,358","$15,265","$4,666","$33,478","$98,600",92%,1060-1328,21-26,www.ndsu.edu
#370,Sacred Heart University,"Fairfield, CT",Private,"5,937","8,543","$39,973","$15,472","$58,440","$100,500",60%,N/A,N/A,https://www.sacredheart.edu
#371,Hanover College,"Hanover, IN",Private,"1,089","1,103","$21,898","$26,000","$50,450","$85,100",84%,1070-1260,22-27,www.hanover.edu
#372,Florida Institute of Technology,"Melbourne, FL",Private,"3,943","6,402","$31,592","$23,760","$59,650","$105,400",63%,1130-1320,24-29,www.fit.edu
#373,Hampshire College,"Amherst, MA",Private,"1,268","1,382","$29,416","$30,632","$67,114","$92,300",63%,N/A,N/A,www.hampshire.edu
#374,Saint John Fisher College,"Rochester, NY",Private,"2,976","3,776","$27,022","$17,631","$47,770","$86,700",65%,1060-1230,22-26,www.sjfc.edu
#375,"University of Minnesota, Morris","Morris, MN",Public,"1,627","1,912","$11,051","$11,572","$25,942","$85,300",64%,1150-1390,22-28,www.morris.umn.edu
#376,Roger Williams University,"Bristol, RI",Private,"5,024","5,472","$35,100","$13,685","$52,700","$92,700",82%,N/A,N/A,rwu.edu
#377,La Salle University,"Philadelphia, PA",Private,"3,896","5,197","$25,937","$27,431","$45,476","$104,800",79%,N/A,N/A,www.lasalle.edu
#378,Lebanon Valley College,"Annville, PA",Private,"1,784","1,910","$27,137","$26,230","$57,390","$93,100",73%,1063-1250,22-26,www.lvc.edu
#379,Assumption College,"Worcester, MA",Private,"2,318","2,481","$28,285","$20,777","$54,594","$95,700",79%,N/A,N/A,https://www.assumption.edu
#380,Merrimack College,"North Andover, MA",Private,"3,786","4,191","$32,442","$20,113","$57,865","$102,500",82%,N/A,N/A,www.merrimack.edu/index.php
#381,Grove City College,"Grove City, PA",Private,"2,373","2,383",N/A,"$6,843","$28,504","$98,400",80%,1071-1249,23-32,www.gcc.edu
#382,University of St. Thomas (TX),"Houston, TX",Private,"1,979","3,168","$17,309","$23,263","$46,506","$92,000",81%,1070-1235,21-27,https://www.stthom.edu/home/index.aqf
#383,Le Moyne College,"Syracuse, NY",Private,"3,148","3,431","$23,130","$22,291","$49,995","$91,700",64%,1080-1240,22-27,www.lemoyne.edu
#384,St. Edward's University,"Austin, TX",Private,"4,300","4,447","$22,968","$28,957","$58,700","$89,100",84%,1080-1250,22-28,www.stedwards.edu/contactus
#385,"University of Hawaii, Manoa","Honolulu, HI",Public,"15,299","17,612","$15,307","$7,227","$51,550","$91,600",83%,1050-1240,21-26,manoa.hawaii.edu
#386,Augustana College,"Rock Island, IL",Private,"2,591","2,647","$24,745","$27,532","$53,422","$88,900",59%,N/A,N/A,augustana.edu
#387,Covenant College,"Lookout Mountain, GA",Private,"1,017","1,068","$22,202","$21,187","$45,920","$79,400",95%,1130-1350,24-30,www.covenant.edu
#388,Howard University,"Washington, DC",Private,"6,156","9,392","$23,424","$20,427","$43,201","$101,300",41%,1090-1290,22-28,www.howard.edu
#389,Union University (TN),"Jackson, TN",Private,"2,853","3,377","$22,839","$24,075","$51,790","$83,000",60%,1070-1320,23-29,www.uu.edu
#390,Iona College,"New Rochelle, NY",Private,"3,649","3,792","$26,717","$23,110","$55,864","$106,200",92%,980-1180,20-25,www.iona.edu
#391,Lipscomb University,"Nashville, TN",Private,"3,705","4,642","$24,279","$18,955","$47,734","$84,800",60%,1060-1330,23-29,https://www.lipscomb.edu
#392,Carroll College,"Helena, MT",Private,"1,362","1,415","$26,297","$20,475","$48,538","$91,400",78%,1080-1270,22-28,www.carroll.edu
#393,Berry College,"Mount Berry, GA",Private,"2,110","2,138","$24,165","$21,883","$50,632","$84,900",62%,1120-1300,24-29,www.berry.edu
#394,Elizabethtown College,"Elizabethtown, PA",Private,"1,735","1,766","$28,222","$27,431","$58,490","$89,700",74%,1070-1280,22-27,www.etown.edu
#395,College of St. Scholastica,"Duluth, MN",Private,"3,143","4,276","$23,935","$23,314","$49,104","$86,800",68%,1020-1300,19-27,css.edu
#396,Augustana University,"Sioux Falls, SD",Private,"1,743","2,080","$18,446","$21,816","$45,458","$88,400",68%,1070-1290,23-29,www.augie.edu
#397,Louisiana Tech University,"Ruston, LA",Public,"12,708","12,839","$10,774","$10,650","$29,277","$100,700",65%,870-1100,22-27,www.latech.edu
#398,George Fox University,"Newberg, OR",Private,"2,821","4,076","$28,366","$17,754","$48,902","$89,600",82%,1050-1270,21-27,www.georgefox.edu
#399,University of North Dakota,"Grand Forks, ND",Public,"13,957","14,406","$15,056","$4,640","$33,017","$96,000",83%,1050-1270,21-26,und.edu
#400,Pace University,"New York, NY",Private,"10,063","12,986","$29,588","$28,509","$64,982","$107,800",80%,1040-1220,21-27,www.pace.edu
#401,University of Mississippi,"University, MS",Public,"20,940","23,136","$13,929","$9,642","$40,086","$89,100",84%,1070-1290,22-29,www.olemiss.edu
#402,California Institute of the Arts,CA,Private,991,"1,498","$46,101","$15,401","$68,993","$91,000",24%,N/A,N/A,N/A
#403,Linfield College,"McMinnville, OR",Private,"1,535","1,692","$27,254","$25,864","$56,712","$92,000",81%,1020-1210,20-26,www.linfield.edu
#404,Berklee College of Music,MA,Private,"6,762","6,952","$47,270","$19,811","$63,574","$84,200",53%,N/A,N/A,N/A
#405,University of Northern Iowa,"Cedar Falls, IA",Public,"11,334","11,861","$16,496","$4,677","$31,872","$85,300",81%,1080-1360,21-26,www.uni.edu
#406,New Mexico Institute of Mining and Technology,"Socorro, NM",Public,"1,707","2,009","$13,694","$6,883","$35,153","$120,400",22%,1190-1390,23-29,www.nmt.edu
#407,St. John's University (NY),"Queens, NY",Private,"17,861","21,340","$25,747","$25,628","$59,865","$106,600",68%,1060-1250,22-29,www.stjohns.edu/contact.stj
#408,University of Massachusetts Lowell,"Lowell, MA",Public,"16,407","18,315","$19,322","$9,817","$46,983","$109,300",69%,1130-1310,24-29,www.uml.edu
#409,South Dakota School of Mines and Technology,"Rapid City, SD",Public,"2,778","2,885","$19,759","$4,230","$28,770","$118,500",83%,1150-1353,24-29,https://www.sdsmt.edu
#410,Goucher College,"Baltimore, MD",Private,"1,508","2,236","$25,306","$29,040","$59,810","$90,600",79%,N/A,N/A,www.goucher.edu
#411,"CUNY, The City College of New York","New York, NY",Public,"15,842","16,001","$2,540","$9,669","$36,674","$99,100",46%,1040-1240,N/A,www.ccny.cuny.edu
#412,Nebraska Wesleyan University,"Lincoln, NE",Private,"2,064","3,703","$23,652","$18,976","$46,544","$80,500",71%,1040-1300,22-28,www.nebrwesleyan.edu
#413,Brigham Young University-Idaho,"Rexburg, ID",Private,"51,881","69,458","$7,977","$4,070","$12,322","$93,500",95%,990-1180,20-25,www.byui.edu
#414,Valparaiso University,"Valparaiso, IN",Private,"3,531","4,026","$21,946","$26,441","$52,980","$98,000",84%,1060-1270,23-29,www.valpo.edu
#415,Lake Forest College,"Lake Forest, IL",Private,"1,542","1,640","$24,628","$31,022","$58,675","$102,600",53%,N/A,N/A,www.lakeforest.edu
#416,Azusa Pacific University,"Azusa, CA",Private,"6,263","9,926","$27,267","$21,186","$52,396","$85,700",60%,990-1220,21-27,www.apu.edu
#417,"California State University, Fresno","Fresno, CA",Public,"23,020","25,325","$5,872","$10,267","$32,311","$97,300",59%,910-1110,16-22,www.fresnostate.edu
#418,West Chester University of Pennsylvania,"West Chester, PA",Public,"15,851","17,306","$22,193","$5,743","$38,253","$92,200",69%,1040-1210,21-26,www.wcupa.edu
#419,Goshen College,"Goshen, IN",Private,921,950,"$19,251","$23,958","$46,500","$79,200",64%,980-1233,19-28,www.goshen.edu
#420,Agnes Scott College,"Decatur, GA",Private,921,981,"$20,356","$29,066","$54,065","$83,600",66%,N/A,N/A,www.agnesscott.edu
#421,Maryville University of Saint Louis,"St. Louis, MO",Private,"3,486","7,689","$23,891","$12,346","$46,076","$80,100",92%,983-1265,21-27,www.maryville.edu
#422,Montclair State University,"Montclair, NJ",Public,"18,785","21,013","$18,500","$9,983","$38,435","$95,400",71%,990-1150,N/A,www.montclair.edu
#423,Oregon Institute of Technology,"Klamath Falls, OR",Public,"5,486","7,358","$17,041","$5,674","$42,093","$106,800",61%,1040-1230,21-26,www.oit.edu
#424,Albion College,"Albion, MI",Private,"1,476","1,568","$17,863","$34,181","$56,750","$99,300",71%,1010-1200,20-26,www.albion.edu
#425,University of North Florida,"Jacksonville, FL",Public,"16,309","16,531","$13,795","$7,267","$35,614","$86,600",59%,1090-1280,21-26,www.unf.edu
#426,San Francisco State University,"San Francisco, CA",Public,"29,485","29,758","$13,787","$8,470","$38,599","$99,500",70%,950-1150,18-24,www.sfsu.edu
#427,Montana State University,"Bozeman, MT",Public,"15,848","16,613","$17,754","$5,661","$38,121","$96,200",83%,1090-1300,21-28,www.montana.edu
#428,High Point University,"High Point, NC",Private,"4,608","4,951","$38,741","$10,331","$51,105","$84,300",81%,1050-1240,21-27,www.highpoint.edu
#429,Whittier College,"Whittier, CA",Private,"1,660","1,987","$25,322","$28,841","$61,409","$95,600",74%,1010-1220,21-27,www.whittier.edu
#430,Eckerd College,"St. Petersburg, FL",Private,"2,037","2,200","$32,718","$23,182","$59,200","$88,400",73%,1060-1260,23-29,www.eckerd.edu
#431,University of Louisville,"Louisville, KY",Public,"18,009","21,402","$16,721","$9,589","$41,472","$87,600",75%,1070-1290,22-28,louisville.edu
#432,Mississippi State University,"Starkville, MS",Public,"19,554","21,883","$16,192","$10,003","$38,410","$94,100",62%,N/A,21-28,www.msstate.edu
#433,University of Tampa,"Tampa, FL",Private,"8,101","8,895","$29,735","$12,304","$43,708","$91,500",53%,1070-1230,22-27,www.ut.edu
#434,"California State University, Stanislaus","Turlock, CA",Public,"9,299","10,327","$6,295","$8,875","$32,434","$94,200",77%,N/A,N/A,www.csustan.edu
#435,University of Idaho,"Moscow, ID",Public,"11,344","12,072","$14,354","$6,993","$37,624","$97,700",73%,1010-1230,20-26,www.uidaho.edu
#436,Cornell College (IA),"Mount Vernon, IA",Private,"1,006","1,009","$24,355","$26,957","$55,954","$90,600",65%,1100-1340,23-29,www.cornellcollege.edu/index.shtml
#437,Washington &amp; Jefferson College,"Washington, PA",Private,"1,412","1,424","$27,925","$29,017","$60,134","$92,100",48%,N/A,N/A,www.washjeff.edu
#438,Ohio University,"Athens, OH",Public,"26,467","29,369","$20,853","$6,291","$36,706","$93,300",74%,1080-1260,22-26,www.ohio.edu
#439,Stetson University,"DeLand, FL",Private,"3,213","4,252","$26,883","$30,974","$61,374","$86,000",68%,N/A,N/A,www.stetson.edu/home
#440,Moravian College,"Bethlehem, PA",Private,"2,195","2,446","$26,838","$25,900","$57,868","$95,300",76%,1010-1210,21-27,www.moravian.edu
#441,Abilene Christian University,"Abilene, TX",Private,"3,806","5,145","$26,037","$18,599","$48,300","$90,900",58%,1025-1220,21-26,www.acu.edu
#442,"University of Minnesota, Duluth","Duluth, MN",Public,"10,490","11,168","$17,131","$7,100","$29,542","$95,700",77%,1050-1280,22-26,www.d.umn.edu
#443,Stockton University,"Galloway, NJ",Public,"9,105","9,216","$20,364","$12,270","$37,234","$85,800",82%,1010-1200,19-25,www.stockton.edu
#444,University of Rhode Island,"Kingston, RI",Public,"16,255","18,089","$19,431","$10,834","$45,735","$99,700",70%,1050-1230,22-27,www.uri.edu
#445,Utah State University,"Logan, UT",Public,"27,679","29,784","$13,279","$8,145","$33,264","$93,900",89%,1000-1220,21-27,www.usu.edu
#446,Saint Mary's University of Minnesota,"Winona, MN",Private,"1,883","5,754","$20,210","$21,359","$45,300","$93,700",64%,960-1210,20-25,www.smumn.edu
#447,McDaniel College,"Westminster, MD",Private,"1,646","2,819","$20,333","$30,807","$55,830","$94,600",85%,1060-1230,21-28,https://www.mcdaniel.edu
#448,North Central College,"Naperville, IL",Private,"2,883","2,965","$23,265","$23,128","$51,228","$92,900",54%,1063-1323,22-27,northcentralcollege.edu/home
#449,Bellarmine University,"Louisville, KY",Private,"2,903","3,757","$24,433","$28,601","$59,306","$90,700",89%,1050-1210,22-27,www.bellarmine.edu
#450,"SUNY, College at Oneonta","Oneonta, NY",Public,"6,150","6,358","$17,513","$7,634","$33,812","$88,000",60%,1040-1190,21-25,www.oneonta.edu/home/default.asp
#451,"SUNY, Farmingdale State College","Farmingdale, NY",Public,"9,574","12,307","$9,443","$7,438","$33,818","$93,800",59%,980-1140,19-23,www.farmingdale.edu
#452,University of New England,"Biddeford, ME",Private,"8,281","8,798","$33,183","$19,228","$54,260","$91,500",81%,1030-1210,21-26,www.une.edu
#453,Susquehanna University,"Selinsgrove, PA",Private,"2,351","2,370","$25,492","$30,386","$59,780","$94,700",70%,N/A,N/A,www.susqu.edu
#454,West Virginia University,"Morgantown, WV",Public,"24,183","28,406","$11,825","$8,964","$37,712","$99,900",72%,1020-1210,21-27,www.wvu.edu
#455,University of La Verne,"La Verne, CA",Private,"6,653","8,159","$25,429","$24,969","$59,826","$90,500",48%,1020-1193,19-25,laverne.edu
#456,"University of Alabama, Birmingham","Birmingham, AL",Public,"13,308","20,902","$17,535","$9,254","$36,800","$87,200",92%,990-1370,21-28,www.uab.edu
#457,Sonoma State University,"Rohnert Park, CA",Public,"9,244","9,481","$17,296","$7,277","$37,914","$97,100",82%,980-1170,19-24,www.sonoma.edu
#458,Canisius College,"Buffalo, NY",Private,"2,861","3,464","$20,913","$26,244","$52,172","$90,000",78%,1040-1260,22-28,www.canisius.edu
#459,Houghton College,"Houghton, NY",Private,"1,043","1,231","$19,325","$22,690","$44,408","$77,900",91%,1060-1320,22-29,www.houghton.edu
#460,Hamline University,"Saint Paul, MN",Private,"2,346","3,734","$21,103","$26,309","$52,178","$90,400",69%,1015-1260,20-26,www.hamline.edu
#461,Ouachita Baptist University,"Arkadelphia, AR",Private,"1,545","1,648","$18,509","$17,776","$37,600","$80,200",71%,1020-1260,21-28,www.obu.edu
#462,Ohio Wesleyan University,"Delaware, OH",Private,"1,560","1,712","$25,194","$31,028","$60,350","$99,200",71%,N/A,N/A,www.owu.edu
#463,Birmingham-Southern College,"Birmingham, AL",Private,"1,283","1,325","$22,853","$26,594","$52,414","$88,300",62%,1030-1260,23-29,www.bsc.edu
#464,Berea College,"Berea, KY",Private,"1,670","1,710","$1,298","$33,422","$35,394","$71,600",35%,970-1200,22-27,www.berea.edu
#465,Roanoke College,"Salem, VA",Private,"2,035","2,087","$27,435","$26,726","$59,327","$85,100",67%,1040-1230,22-27,roanoke.edu
#466,"University of Colorado, Denver","Denver, CO",Public,"19,806","24,839","$14,941","$6,251","$44,114","$95,600",65%,1060-1280,21-27,www.cu.edu
#467,Saint Vincent College,"Latrobe, PA",Private,"1,720","1,865","$20,909","$25,507","$48,879","$88,300",62%,1020-1210,20-26,www.stvincent.edu
#468,Spelman College,"Atlanta, GA",Private,"2,137","2,166","$36,740","$13,647","$51,642","$85,400",40%,1070-1215,22-26,www.spelman.edu
#469,"California State University, Sacramento","Sacramento, CA",Public,"30,445","31,255","$9,733","$8,984","$37,622","$101,100",68%,940-1140,17-23,www.csus.edu
#470,Wittenberg University,"Springfield, OH",Private,"1,884","2,053","$24,263","$26,135","$52,056","$105,400",72%,N/A,N/A,www.wittenberg.edu
#471,South Dakota State University,"Brookings, SD",Public,"12,516","13,103","$23,362","$4,201","$26,052","$91,900",91%,980-1260,20-26,www.sdstate.edu
#472,Coe College,"Cedar Rapids, IA",Private,"1,394","1,476","$20,767","$31,543","$55,240","$86,900",56%,1073-1326,22-28,www.coe.edu
#473,East Carolina University,"Greenville, NC",Public,"25,207","29,131","$15,415","$8,225","$38,277","$85,400",79%,1030-1180,20-24,www.ecu.edu
#474,"California State University, Northridge","Northridge, CA",Public,"37,184","41,319","$5,703","$9,782","$34,007","$97,300",58%,910-1120,17-22,www.csun.edu
#475,University of Alabama in Huntsville,"Huntsville, AL",Public,"7,519","9,101","$19,986","$9,587","$36,881","$103,900",81%,1080-1330,25-31,www.uah.edu
#476,Mercer University,"Macon, GA",Private,"5,057","8,653","$21,044","$28,528","$51,293","$85,100",73%,1170-1340,25-30,www.mercer.edu
#477,Oklahoma City University,"Oklahoma City, OK",Private,"1,983","2,845","$26,838","$18,588","$45,408","$87,900",72%,1110-1280,23-28,www.okcu.edu
#478,Rider University,"Lawrenceville, NJ",Private,"4,371","5,073","$29,086","$25,766","$59,700","$99,000",67%,990-1190,19-26,www.rider.edu
#479,Loyola University New Orleans,"New Orleans, LA",Private,"2,766","3,759","$22,766","$27,972","$55,402","$88,600",69%,1080-1270,22-28,www.loyno.edu
#480,Nova Southeastern University,"Fort-Lauderdale-Davie, FL",Private,"4,840","20,793","$26,606","$19,075","$49,149","$89,800",58%,1080-1280,23-28,www.nova.edu
#481,Grand Valley State University,"Allendale, MI",Public,"24,282","25,049","$16,975","$6,374","$29,314","$82,100",81%,1050-1230,21-26,www.gvsu.edu
#482,Florida Atlantic University,"Boca Raton, FL",Public,"30,208","31,454","$10,466","$8,635","$35,804","$91,200",60%,1060-1220,21-26,www.fau.edu
#483,Northwestern College (IA),"Orange City, IA",Private,"1,131","1,243","$23,064","$19,343","$43,650","$82,400",68%,995-1235,21-27,www.nwciowa.edu
#484,Pacific University (OR),"Forest Grove, OR",Private,"1,995","3,893","$29,902","$26,103","$57,488","$94,000",84%,1070-1260,22-27,www.pacificu.edu
#485,"University of North Carolina, Charlotte","Charlotte, NC",Public,"26,758","29,317","$16,286","$7,385","$37,081","$92,600",66%,1110-1270,22-26,www.uncc.edu
#486,Tennessee Technological University,"Cookeville, TN",Public,"10,215","10,504","$14,813","$9,050","$42,377","$95,100",64%,1010-1250,21-28,www.tntech.edu
#487,Ball State University,"Muncie, IN",Public,"19,231","22,513","$15,187","$10,658","$40,448","$83,700",62%,1080-1240,20-24,cms.bsu.edu
#488,Elmhurst College,"Elmhurst, IL",Private,"3,122","3,481","$22,443","$21,852","$50,000","$88,500",71%,985-1210,20-26,https://www.elmhurst.edu
#489,Touro College,"New York, NY",Private,"8,622","11,908","$23,539","$6,815","$35,111","$103,100",74%,N/A,N/A,www.touro.edu
#490,"CUNY, John Jay College of Criminal Justice","New York, NY",Public,"14,834","15,583","$3,843","$9,007","$41,261","$84,800",39%,980-1130,N/A,www.jjay.cuny.edu
#491,"CUNY, Lehman College","New York, NY",Public,"14,130","15,231","$1,886","$10,685","$34,532","$83,500",35%,970-1100,N/A,www.lehman.cuny.edu
#492,"California State University, East Bay","Hayward, CA",Public,"14,691","16,538","$11,566","$9,402","$36,990","$103,500",74%,N/A,N/A,www.csueastbay.edu
#493,University of South Dakota,"Vermillion, SD",Public,"9,416","10,261","$17,344","$5,145","$25,521","$87,900",87%,1010-1230,20-25,www.usd.edu
#494,"University of North Carolina, Asheville","Asheville, NC",Public,"3,852","4,429","$12,763","$8,060","$36,638","$76,100",80%,1080-1260,22-28,www.unca.edu
#495,Ashland University,"Ashland, OH",Private,"6,471","6,781","$20,221","$12,432","$33,954","$80,000",74%,965-1180,20-25,www.ashland.edu
#496,Simpson College (IA),"Indianola, IA",Private,"1,479","1,695","$22,005","$25,683","$50,180","$88,600",84%,1070-1220,21-27,simpson.edu
#497,"University of Missouri, Saint Louis","St. Louis, MO",Public,"16,715","17,095","$9,930","$12,471","$40,607","$87,500",76%,1065-1225,22-27,www.umsl.edu
#498,Florida Southern College,"Lakeland, FL",Private,"2,759","3,055","$24,679","$21,189","$49,900","$82,500",51%,1070-1250,24-29,https://www.flsouthern.edu
#499,"California State University, Los Angeles","Los Angeles, CA",Public,"24,862","28,531","$3,792","$9,553","$36,726","$93,800",46%,890-1080,15-20,www.calstatela.edu
#500,"California State University, San Bernardino","San Bernardino, CA",Public,"19,244","20,692","$8,519","$9,287","$36,127","$87,500",57%,910-1090,16-21,www.csusb.edu
#501,"University of Texas, Arlington","Arlington, TX",Public,"42,966","46,497","$13,200","$8,484","$39,860","$99,500",71%,1060-1270,20-27,www.uta.edu
#502,"University of Northwestern, St. Paul","Saint Paul, MN",Private,"3,521","3,702","$23,249","$17,134","$43,404",N/A,93%,970-1235,21-27,www.nwc.edu
#503,Lawrence Technological University,"Southfield, MI",Private,"2,268","3,069","$27,331","$17,291","$47,482","$108,400",60%,950-1330,21-28,https://www.ltu.edu
#504,Mississippi College,"Clinton, MS",Private,"3,513","5,036","$16,693","$13,649","$32,385","$79,500",39%,1070-1290,22-29,www.mc.edu
#505,University of North Georgia,"Dahlonega, GA",Public,"18,782","20,811","$9,854","$5,483","$28,094","$85,600",78%,910-1130,20-25,www.ung.edu
#506,Webster University,"St. Louis, MO",Private,"3,732","12,736","$22,937","$17,927","$44,962","$83,500",54%,1040-1253,21-26,www.webster.edu
#507,University of North Texas,"Denton, TX",Public,"35,099","38,276","$13,832","$10,638","$33,908","$90,100",72%,1060-1260,21-27,www.unt.edu
#508,Texas State University,"San Marcos, TX",Public,"37,449","38,666","$15,545","$8,129","$34,245","$90,600",73%,1020-1200,20-26,www.txstate.edu
#509,University of Maine,"Orono, ME",Public,"10,304","11,240","$17,074","$8,544","$43,618","$95,000",92%,1050-1250,22-27,www.umaine.edu
#510,Central College,"Pella, IA",Private,"1,237","1,433","$22,558","$26,389","$50,547","$88,800",70%,950-1220,21-26,www.central.edu
#511,Christian Brothers University,"Memphis, TN",Private,"1,919","2,157","$9,468","$23,780","$44,430","$96,500",53%,N/A,21-27,www.cbu.edu/admissions
#512,Manhattanville College,"Purchase, NY",Private,"1,802","2,690","$21,923","$26,213","$54,780","$97,500",82%,N/A,N/A,www.mville.edu
#513,Georgia State University,"Atlanta, GA",Public,"29,773","32,816","$15,506","$10,090","$40,873","$90,800",70%,1040-1220,19-26,www.gsu.edu
#514,William Jewell College,"Liberty, MO",Private,933,"1,082","$21,134","$25,621","$47,928","$94,500",48%,990-1240,23-28,www.jewell.edu/home
#515,Northern Arizona University,"Flagstaff, AZ",Public,"29,609","31,051","$14,789","$10,044","$40,705","$90,000",81%,N/A,N/A,nau.edu
#516,Westminster College (PA),"New Wilmington, PA",Private,"1,263","1,289","$21,618","$25,476","$49,546","$87,700",72%,990-1220,20-27,www.westminster.edu
#517,Missouri State University,"Springfield, MO",Public,"22,856","23,697","$15,855","$5,480","$28,502","$86,800",84%,1020-1245,21-26,www.missouristate.edu
#518,"University of Nebraska, Omaha","Omaha, NE",Public,"14,610","15,731","$13,173","$6,485","$34,522","$89,500",87%,840-1102,19-26,www.unomaha.edu
#519,Florida Gulf Coast University,"Fort Myers, FL",Public,"14,965","15,317","$15,376","$4,726","$39,434","$80,000",64%,1060-1210,21-25,www.fgcu.edu
#520,Meredith College,"Raleigh, NC",Private,"1,789","1,980","$24,545","$21,258","$49,324","$77,100",69%,1000-1195,20-25,www.meredith.edu
#521,College of Idaho,"Caldwell, ID",Private,954,999,"$21,433","$18,125","$41,347","$82,100",76%,N/A,N/A,www.collegeofidaho.edu
#522,Carroll University,"Waukesha, WI",Private,"3,048","3,452","$22,736","$18,551","$44,150","$86,500",71%,975-1210,21-26,www.carrollu.edu
#523,Old Dominion University,"Norfolk, VA",Public,"22,386","24,375","$15,368","$7,270","$43,444","$89,900",86%,980-1200,18-25,odu.edu
#524,Mount Saint Mary's University (CA),"Los Angeles, CA",Private,"3,100","3,226","$28,274","$23,270","$59,392","$97,500",81%,920-1120,16-21,www.msmc.la.edu/index.asp
#525,Andrews University,"Berrien Springs, MI",Private,"2,250","3,300","$21,460","$16,809","$39,714","$85,000",58%,1040-1320,21-29,www.andrews.edu
#526,Lynn University,"Boca Raton, FL",Private,"2,245","3,010","$35,077","$14,306","$55,923","$85,000",85%,N/A,N/A,www.lynn.edu
#527,Baldwin Wallace University,"Berea, OH",Private,"3,577","3,791","$23,729","$19,781","$46,004","$82,800",78%,N/A,N/A,www.bw.edu
#528,Otterbein University,"Westerville, OH",Private,"2,608","2,936","$24,287","$20,110","$46,390","$85,600",76%,1040-1305,21-27,www.otterbein.edu
#529,University of Massachusetts Boston,"Boston, MA",Public,"15,848","16,415","$12,412","$11,342","$46,941","$95,400",75%,1040-1220,21-26,www.umb.edu
#530,Queens University of Charlotte,"Charlotte, NC",Private,"1,906","2,507","$23,348","$22,152","$48,776","$86,600",79%,1010-1198,21-26,www.queens.edu
#531,"Minnesota State University, Mankato","Mankato, MN",Public,"14,712","15,273","$15,615","$5,108","$28,278","$90,900",61%,N/A,20-24,www.mnsu.edu
#532,Portland State University,"Portland, OR",Public,"26,693","27,483","$13,578","$6,772","$43,989","$90,500",92%,990-1220,19-25,www.pdx.edu
#533,Westminster College (MO),"Fulton, MO",Private,767,972,"$20,402","$18,133","$40,510",N/A,90%,1015-1175,21-26,www.westminster-mo.edu
#534,University of Northern Colorado,"Greeley, CO",Public,"11,278","13,399","$20,367","$7,708","$35,653","$87,100",89%,1000-1240,19-25,www.unco.edu
#535,Ripon College,"Ripon, WI",Private,756,813,"$18,592","$28,951","$52,341","$89,600",68%,1040-1260,20-26,www.ripon.edu
#536,Marietta College,"Marietta, OH",Private,"1,145","1,220","$24,022","$22,617","$50,104","$94,300",67%,960-1215,20-25,www.marietta.edu
#537,Sam Houston State University,"Huntsville, TX",Public,"19,784","20,938","$13,560","$8,976","$31,784","$89,900",74%,1000-1140,19-23,shsu.edu
#538,St. Mary's University (TX),"San Antonio, TX",Private,"2,432","3,649","$17,522","$22,029","$44,490","$95,300",80%,1040-1230,20-26,https://www.stmarytx.edu
#539,Illinois College,"Jacksonville, IL",Private,959,987,"$16,501","$24,557","$42,830","$81,700",55%,N/A,N/A,www.ic.edu
#540,Central Washington University,"Ellensburg, WA",Public,"12,901","15,944","$14,382","$7,096","$36,708","$93,200",86%,910-1100,17-24,www.cwu.edu
#541,Doane University,"Crete, NE",Private,"1,069","1,072","$24,449","$20,109","$46,710","$85,300",65%,N/A,20-25,www.doane.edu
#542,University of Hartford,"West Hartford, CT",Private,"6,259","6,561","$30,440","$21,526","$54,662","$101,600",81%,1030-1230,21-27,www.hartford.edu
#543,Hood College,"Frederick, MD",Private,"1,214","2,112","$23,416","$26,864","$54,840","$82,600",81%,N/A,N/A,www.hood.edu
#544,University of Colorado Colorado Springs,"Colorado Springs, CO",Public,"12,932","14,122","$15,872","$5,682","$36,298","$90,900",93%,1040-1250,21-26,www.uccs.edu
#545,St. Catherine University,"St. Paul, MN",Private,"3,747","4,724","$19,935","$26,729","$50,716","$82,600",70%,1040-1310,20-26,www.stkate.edu
