Rank,Name,City & State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Composite Range,ACT Composite Range,Website
#101,Skidmore College,"Saratoga Springs, NY",Private,"2,684","2,835","$27,410","$41,746","$69,450","$99,700",25%,1205-1400,27-31,www.skidmore.edu
#102,Occidental College,"Los Angeles, CA",Private,"1,972","2,123","$29,211","$35,704","$71,756","$105,700",42%,1280-1440,27-32,www.oxy.edu
#103,"Texas A&amp;M University, College Station","College Station, TX",Public,"53,515","67,929","$20,282","$8,748","$53,848","$115,700",71%,1140-1360,25-30,www.tamu.edu
#104,Union College (NY),"Schenectady, NY",Private,"2,214","2,267","$32,720","$29,135","$68,610","$117,500",37%,N/A,N/A,www.union.edu
#105,Reed College,"Portland, OR",Private,"1,470","1,490","$31,815","$35,130","$69,820","$104,900",36%,1310-1500,30-33,www.reed.edu
#106,Tulane University,"New Orleans, LA",Private,"8,873","12,384","$34,240","$33,035","$69,764","$105,300",21%,1330-1490,30-33,www.tulane.edu
#107,Bentley University,"Waltham, MA",Private,"4,352","5,543","$35,671","$26,565","$66,180","$116,600",44%,1210-1380,27-31,www.bentley.edu
#108,Virginia Tech,"Blacksburg, VA",Public,"26,634","34,440","$20,343","$8,261","$44,024","$114,000",70%,1180-1360,25-30,vt.edu
#109,Trinity College (CT),"Hartford, CT",Private,"2,282","2,401","$31,808","$40,346","$71,470","$110,900",34%,1260-1420,28-32,www.trincoll.edu/Pages/default.aspx
#110,Rose-Hulman Institute of Technology,"Terre Haute, IN",Private,"2,245","2,254","$36,906","$20,967","$65,031","$135,800",61%,1260-1450,27-32,www.rose-hulman.edu
#111,Bryn Mawr College,"Bryn Mawr, PA",Private,"1,442","1,640","$25,672","$37,710","$68,410","$95,300",38%,1310-1500,29-33,www.brynmawr.edu
#112,Rhode Island School of Design,"Providence, RI",Private,"2,030","2,440","$46,277","$26,169","$67,620","$100,600",32%,1130-1370,25-31,www.risd.edu
#113,Rensselaer Polytechnic Institute,"Troy, NY",Private,"6,371","7,592","$34,839","$30,596","$70,132","$134,100",43%,1320-1500,28-32,www.rpi.edu
#114,Franklin and Marshall College,"Lancaster, PA",Private,"2,283","2,440","$27,531","$43,377","$70,430","$109,700",34%,N/A,N/A,fandm.edu
#115,"California Polytechnic State University, San Luis Obispo","San Luis Obispo, CA",Public,"21,098","22,370","$19,979","$5,891","$39,033","$119,500",35%,1200-1380,26-31,calpoly.edu
#116,St. Olaf College,"Northfield, MN",Private,"3,035","3,137","$24,250","$28,573","$58,330","$101,900",43%,1150-1400,25-31,wp.stolaf.edu
#117,Pennsylvania State University,"State College, PA",Public,"43,709","47,119","$30,373","$10,060","$51,572","$105,500",50%,1160-1340,25-30,www.psu.edu
#118,Purdue University,"West Lafayette, IN",Public,"32,534","42,699","$13,746","$10,703","$41,614","$110,000",57%,1150-1380,25-31,www.purdue.edu
#119,The Juilliard School,"New York, NY",Private,590,927,"$32,829","$29,417","$62,600","$97,400",6%,N/A,N/A,N/A
#120,Dickinson College,"Carlisle, PA",Private,"2,382","2,422","$28,464","$34,171","$69,071","$100,100",49%,N/A,N/A,www.dickinson.edu
#121,Ohio State University,"Columbus, OH",Public,"49,185","59,837","$17,726","$9,730","$46,141","$98,600",48%,1260-1450,27-31,www.osu.edu
#122,Wheaton College (IL),"Wheaton, IL",Private,"2,544","2,900","$28,005","$16,173","$47,696","$99,700",85%,1230-1410,27-32,www.wheaton.edu
#123,Rutgers University,"New Brunswick, NJ",Public,"40,523","49,577","$20,379","$13,896","$47,518","$111,000",58%,1190-1400,N/A,www.rutgers.edu
#124,Loyola Marymount University,"Los Angeles, CA",Private,"6,591","9,618","$40,676","$19,787","$64,735","$113,300",52%,1180-1360,26-31,www.lmu.edu
#125,University of Portland,"Portland, OR",Private,"3,967","4,396","$35,329","$23,282","$59,236","$104,900",70%,1140-1320,23-29,www.up.edu
#126,American University,"Washington, DC",Private,"8,606","13,858","$36,567","$29,412","$64,234","$102,900",29%,1180-1350,26-30,www.american.edu
#127,Furman University,"Greenville, SC",Private,"2,863","2,949","$27,508","$30,434","$63,706","$98,800",61%,1190-1380,26-31,www2.furman.edu/Pages/default.aspx
#128,Connecticut College,"New London, CT",Private,"1,817","1,928","$30,244","$39,603","$69,440","$100,800",38%,N/A,N/A,www.conncoll.edu
#129,Pepperdine University,"Malibu, CA",Private,"3,803","7,710","$33,814","$31,980","$70,862","$103,900",40%,1200-1390,26-31,www.pepperdine.edu
#130,University of Connecticut,"Storrs, CT",Public,"20,662","27,578","$20,681","$13,630","$53,112","$105,200",48%,1210-1390,26-31,uconn.edu
#131,"Indiana University, Bloomington","Bloomington, IN",Public,"41,317","43,710","$14,351","$11,647","$48,739","$97,100",76%,1140-1350,25-31,www.indiana.edu
#132,DePauw University,"Greencastle, IN",Private,"2,158","2,253","$22,323","$31,570","$62,567","$101,000",67%,1110-1330,24-29,www.depauw.edu
#133,Elon University,"Elon, NC",Private,"6,214","6,791","$34,459","$14,061","$49,642","$93,700",67%,1140-1330,25-29,www.elon.edu
#134,Clemson University,"Clemson, SC",Public,"19,506","24,387","$17,696","$10,296","$50,516","$106,700",47%,1220-1390,27-31,www.clemson.edu
#135,Fairfield University,"Fairfield, CT",Private,"4,511","5,192","$36,929","$24,180","$64,325","$116,900",61%,N/A,N/A,www.fairfield.edu
#136,James Madison University,"Harrisonburg, VA",Public,"21,167","21,836","$20,204","$8,556","$42,522","$102,600",75%,1100-1260,23-28,www.jmu.edu
#137,Mount Holyoke College,"South Hadley, MA",Private,"2,334","2,393","$26,239","$31,370","$63,900","$92,100",51%,1270-1463,29-33,https://www.mtholyoke.edu
#138,Gettysburg College,"Gettysburg, PA",Private,"2,411","2,615","$27,597","$29,795","$66,710","$109,300",46%,N/A,N/A,www.gettysburg.edu
#139,"North Carolina State University, Raleigh","Raleigh, NC",Public,"26,961","34,432","$15,024","$10,998","$42,048","$106,500",51%,1230-1390,26-31,www.ncsu.edu
#140,University of Denver,"Denver, CO",Private,"6,080","11,434","$32,174","$26,702","$65,376","$105,100",58%,1160-1350,25-30,www.du.edu
#141,Fordham University,"Bronx, NY",Private,"10,137","16,037","$35,694","$27,530","$72,239","$112,500",46%,1230-1410,27-31,www.fordham.edu
#142,University of San Diego,"San Diego, CA",Private,"6,177","8,905","$34,752","$24,364","$65,426","$109,400",50%,1180-1350,26-30,www.sandiego.edu
#143,Trinity University (TX),"San Antonio, TX",Private,"2,406","2,571","$23,144","$26,174","$56,880","$102,900",38%,1230-1410,27-32,web.trinity.edu
#144,University of Pittsburgh,"Pittsburgh, PA",Public,"20,822","28,642","$28,331","$12,484","$44,812","$100,400",60%,1240-1418,27-32,www.pitt.edu
#145,"Binghamton University, SUNY","Binghamton, NY",Public,"14,736","17,351","$18,378","$8,062","$40,980","$109,600",40%,1290-1431,28-31,www.binghamton.edu
#146,"University of Colorado, Boulder","Boulder, CO",Public,"30,976","35,338","$20,706","$9,787","$54,312","$109,900",80%,1150-1340,25-30,www.colorado.edu
#147,University of Delaware,"Newark, DE",Public,"20,550","23,774","$16,892","$8,798","$47,782","$105,400",63%,1130-1330,25-29,www.udel.edu
#148,Texas Christian University,"Fort Worth, TX",Private,"9,258","10,489","$35,429","$24,864","$62,970","$98,700",41%,1130-1330,25-30,www.tcu.edu
#149,College of New Jersey,"Ewing, NJ",Public,"7,212","7,552","$26,670","$9,936","$45,897","$101,800",48%,1170-1330,N/A,tcnj.edu
#150,Rhodes College,"Memphis, TN",Private,"2,010","2,102","$25,629","$30,234","$61,538","$97,800",51%,1220-1410,27-32,www.rhodes.edu
#151,Florida State University,"Tallahassee, FL",Public,"36,787","41,362","$14,582","$6,628","$34,904","$92,700",49%,1190-1330,26-30,www.fsu.edu
#152,Stevens Institute of Technology,"Hoboken, NJ",Private,"3,144","6,916","$36,620","$25,762","$67,204","$139,900",44%,1320-1470,29-33,www.stevens.edu/sit
#153,Denison University,"Granville, OH",Private,"2,290","2,341","$24,808","$30,783","$64,970","$104,800",37%,1200-1380,28-31,denison.edu
#154,Sewanee—University of the South,"Sewanee, TN",Private,"1,778","1,835","$27,544","$23,449","$60,950","$97,800",47%,N/A,N/A,www.sewanee.edu
#155,"University of Massachusetts, Amherst","Amherst, MA",Public,"26,735","30,340","$20,926","$8,867","$48,135","$103,000",58%,1180-1360,26-31,www.umass.edu
#156,Syracuse University,"Syracuse, NY",Private,"22,484","28,199","$34,173","$27,878","$65,480","$104,800",47%,1160-1350,25-30,syracuse.edu
#157,Sarah Lawrence College,"Bronxville, NY",Private,"1,470","1,696","$33,358","$28,916","$70,266","$96,100",53%,1240-1410,27-31,www.slc.edu
#158,St. Lawrence University,"Canton, NY",Private,"2,468","2,493","$27,691","$31,866","$68,296","$104,000",48%,1205-1365,26-30,www.stlawu.edu
#159,Michigan State University,"East Lansing, MI",Public,"42,252","50,019","$18,576","$10,911","$53,424","$100,800",72%,1100-1320,23-28,www.msu.edu
#160,University of Iowa,"Iowa City, IA",Public,"27,051","32,166","$15,103","$8,045","$44,251","$99,400",86%,1140-1370,23-28,www.uiowa.edu
#161,Saint Louis University,"St. Louis, MO",Private,"14,373","14,581","$27,341","$23,580","$57,214","$95,300",64%,1170-1390,25-31,www.slu.edu
#162,Seattle University,"Seattle, WA",Private,"5,250","7,278","$35,021","$22,438","$59,607","$113,700",74%,1130-1330,24-29,www.seattleu.edu/default.aspx
#163,Manhattan School of Music,"New York, NY",Private,451,"1,007","$47,116","$24,906","$66,200",N/A,43%,N/A,N/A,N/A
#164,Kalamazoo College,"Kalamazoo, MI",Private,"1,436","1,469","$23,579","$29,059","$59,267","$94,500",73%,1180-1380,26-30,www.kzoo.edu
#165,University of Dayton,"Dayton, OH",Private,"8,660","10,882","$32,721","$21,293","$57,680","$105,000",72%,1100-1310,24-29,www.udayton.edu
#166,Auburn University,"Auburn, AL",Public,"23,846","29,776","$23,416","$9,030","$49,954","$104,500",84%,1130-1310,24-30,www.auburn.edu
#167,Saint Joseph's University (PA),"Philadelphia, PA",Private,"5,705","8,085","$33,480","$23,892","$60,854","$105,100",77%,1110-1290,23-28,www.sju.edu
#168,University of Vermont,"Burlington, VT",Public,"12,945","13,340","$18,877","$16,347","$56,890","$99,400",67%,1180-1350,25-30,www.uvm.edu
#169,Samford University,"Birmingham, AL",Private,"3,446","5,509","$29,032","$14,879","$46,474","$90,500",83%,1080-1280,23-29,www.samford.edu
#170,Gonzaga University,"Spokane, WA",Private,"5,333","7,506","$32,623","$21,169","$57,350","$107,600",65%,1180-1350,26-30,www.gonzaga.edu
#171,Wofford College,"Spartanburg, SC",Private,"1,678","1,737","$24,722","$28,158","$57,749","$96,600",69%,1120-1310,29-30,www.wofford.edu
#172,Providence College,"Providence, RI",Private,"4,484","4,646","$38,823","$26,359","$64,984","$106,900",52%,1160-1330,26-30,www.providence.edu/Pages/default.aspx
#173,University of Puget Sound,"Tacoma, WA",Private,"2,545","2,701","$37,074","$21,534","$63,510","$101,300",84%,N/A,N/A,www.pugetsound.edu
#174,"CUNY, Baruch College","New York, NY",Public,"18,289","18,775","$2,695","$8,944","$39,172","$107,100",29%,1190-1350,N/A,www.baruch.cuny.edu
#175,Loyola University Maryland,"Baltimore, MD",Private,"4,175","5,783","$36,350","$26,091","$64,520","$111,200",75%,N/A,N/A,www.loyola.edu
#176,"SUNY, Stony Brook (Stony Brook University)","Stony Brook, NY",Public,"19,871","25,989","$13,770","$9,968","$42,981","$107,800",42%,1210-1410,26-31,www.stonybrook.edu
